kdrama_name,recommendations
Live,"['Misaeng: Incomplete Life', 'My Mister', 'Hospital Playlist', 'Diary of a Prosecutor', 'Police University', 'Miss Hammurabi']"
Shall We Link,
That Man Oh Soo,['The Girl Who Sees Scents']
Children of a Lesser God,"['Voice', 'The Guest', 'Nobody Knows', 'Hometown', 'Save Me', 'Mad Dog']"
Nice Witch,"['Who Are You: School 2015', 'Mask', 'Khun Mae Suam Roy', 'I Have a Lover', 'The Flowers Filled the Palace and Missed the Time', 'Secret']"
Grand Prince,"['Moon Lovers: Scarlet Heart Ryeo', 'Queen for Seven Days', ""The Princess's Man"", 'Rebel: Thief Who Stole the People', 'Saimdang, Light’s Diary', 'The Flower in Prison']"
My Husband Oh Jak Doo,"['Because This Is My First Life', 'Live Up to Your Name', 'My Healing Love', 'Shopping King Louie', 'Hometown Cha-Cha-Cha', 'Eccentric! Chef Moon']"
"Sure, Sure",
Just One Bite: Pilot,
Bamboo Forest,
Queen of Mystery Season 2,['Queen of Mystery']
Romance Written Differently,
Six Love Story,
Mysterious Personal Shopper,['The Promise']
Should We Kiss First?,"['I Have a Lover', 'Marriage Contract', 'My Love Eun Dong', 'Scent of a Woman']"
Cheol Soo And O2,
Love in Memory,"['Just Between Lovers', 'Love in Time']"
Short,['To Fly With You']
"TV Novel: Waves, Waves",
First Love Story Season 3,
"Drink, Sing and Dance Season 2",
Eulachacha Waikiki,"['Modern Farmer', 'The Sound of Your Heart', 'Age of Youth', 'Gaus Electronics', 'Fight for My Way', 'The Lover']"
Misty,"['Flower of Evil', 'The Good Wife', 'Graceful Friends', 'The World of the Married', 'The Road: The Tragedy of One', 'What Happened in Bali']"
Cross,"['Life', 'Doctor Stranger', 'Doctor Prisoner', 'Doctor John', 'Heart Surgeons', 'A Beautiful Mind']"
Radio Romance,"['When the Weather Is Fine', 'Strong Woman Do Bong Soon', ""What's Wrong with Secretary Kim"", 'Imitation', 'Boss & Me', 'The Greatest Love']"
4 Kinds of House,"['Coffee Prince', ""You're Beautiful"", 'Single & Ready to Mingle', 'Big Picture House', 'Buddha Mountain', 'Queen of the Ring']"
Paparazzi Girlfriend,
Twenty: Moon,
Mother,"['Saka no Tochu no Ie', 'Lie After Lie', 'My Mister', 'Children of Nobody', 'When the Camellia Blooms', 'Angry Mom']"
Return,"['The Last Empress', 'Children of Nobody', 'The Penthouse: War in Life', 'Graceful Friends', 'Missing 9', 'Pied Piper']"
First Kiss,['Kiss Scene in Yeonnamdong']
Just Too Bored,
Flower Ever After,"['Love Playlist', 'The Best Ending']"
Yeonnamdong 539,
Longing Heart,"['Blue Birthday', 'Operation Proposal', 'Operation Love', 'Somehow 18', 'Waiting for You in the Future', 'Train']"
Office Watch Season 2,['Office Watch']
Aim High,
A Korean Odyssey,"['Goblin', 'Hotel del Luna', 'Gu Family Book', ""Angel's Last Mission: Love"", 'Alchemy of Souls', 'Tale of the Nine-Tailed']"
"Hello, Stranger",
Unexpected Heroes,"['Wild Guys', 'Govengers', 'Love Alarm Season 2', 'A Different Kind of Pretty Man']"
Bad Guys: City of Evil,"['Beyond Evil', 'Mad Dog', 'Bad Guys', 'My Beautiful Bride', 'The Guardians', 'Cruel City']"
Happy Talk Season 2,
Someday,
Just Between Lovers,"['The Smile Has Left Your Eyes', 'Come and Hug Me', 'My Mister', 'When the Weather Is Fine', 'Chocolate', 'Cheese in the Trap']"
The Most Beautiful Goodbye,
The Best Moment To Quit Your Job,"['Misaeng: Incomplete Life', 'Ode to Joy', 'Be Melodramatic', 'Age of Youth', 'Age of Youth Season 2', 'Because This Is My First Life']"
Oh My Grace,['Dramaworld']
Luv Pub: Pilot,
I'm Not a Robot,"['Are You Human Too?', 'My Holo Love', 'My Absolute Boyfriend', 'Coffee Prince', 'Clean with Passion for Now', 'Thirty But Seventeen']"
Black Knight: The Man Who Guards Me,"['The Bride of Habaek', 'A Korean Odyssey', 'Hotel del Luna', 'Love for a Thousand More', 'My Roommate Is a Gumiho', 'Chicago Typewriter']"
Jugglers,"['Touch Your Heart', 'Introverted Boss', 'Crazy Love', 'A Business Proposal', 'Feel Good to Die', 'Ms. Temper & Nam Jung Gi']"
Smashing on Your Back,
Happy Sisters,"['Home for Summer', 'My Wonderful Life', 'Everything Kimchi', 'Want a Taste?']"
Ugly Miss Young Ae Season 16,
I Want to Do It with You,
Love After School,"['Love After School Season 2', 'Seventeen']"
Two Cops,"['Ghost Doctor', 'Black', 'Catch the Ghost', 'Oh My Ghost', 'Bad and Crazy', 'Please Come Back, Mister']"
Enemies from the Past,
Doubtful Victory,"['Vagabond', ""You're All Surrounded"", 'Monster', 'Two Weeks', 'Rugal', 'The Guardians']"
Part-Time Idol,['Top Management']
Untouchable,"['My Beautiful Bride', 'Undercover', 'Drama Special Season 8: You Are Closer Than I Think']"
Long Time No See,"['You Make Me Dance', 'KinnPorsche', 'HIStory3: Trapped', 'Not Me', 'Manner of Death', 'Method']"
"Not Alright, But It's Alright: Pilot",
"Revive Hope, Mister Go Yong",
Prison Playbook,"['Reply 1988', 'My Mister', 'Hospital Playlist', 'Itaewon Class', 'Misaeng: Incomplete Life', 'D.P.']"
Judge vs. Judge,"['Miss Hammurabi', 'The Devil Judge', 'Law School', 'Your Honor', 'Juvenile Justice', 'Lawless Lawyer']"
Listen To Her Heart,
Love Returns,"['Prosecutor Princess', 'Sunny Again Tomorrow']"
Backflow,
Mr. Hashtag Season 2,
Money Flower,"['Nirvana in Fire', 'Hua Jai Sila', 'Shark', 'Secret Boutique', 'The Devil Judge', 'The World of the Married']"
Calm Down Cheon Doong,
Meloholic,"['Deep in My Heart', 'Kill Me, Heal Me', 'The Kodai Family', 'He Is Psychometric', 'Hyde, Jekyll, Me', 'Hello Monster']"
Love Intern Choi Woo Sung,
Goblin's Light,
Sweet Revenge,"['Sweet Revenge Season 2', 'Be Yourself', 'Death Note', 'Nightmare Teacher', 'Queen of the Ring', 'Moment at Eighteen']"
Some Light,
Romance Special Law,
Last Minute Romance,"['The Universe’s Star', 'Something About 1 Percent']"
3 AM Season 2,
Bravo My Life,['The Greatest Love']
We Are Peaceful Brothers,"['The Boy Next Door', 'All-Boys High', 'The Sound of Your Heart']"
Oh! Dear Half-Basement Goddesses,
Black,"['A Korean Odyssey', 'Goblin', 'About Time', ""Dear Doctor, I'm Coming for Soul"", 'Aftermath', 'While You Were Sleeping']"
Revolutionary Love,"['Protect the Boss', 'Hello, Me!', 'Me too, Flower!', 'Shopping King Louie', 'Office Girls']"
Go Back Couple,"['18 Again', 'Familiar Wife', 'Reply 1988', 'Cunning Single Lady', 'Strangers Again', 'Hi Bye, Mama!']"
The Package,"['Hometown Cha-Cha-Cha', 'Our Blues', 'Modern Farmer', 'Go Back Couple', 'Check Out the Event', 'Lovestruck in the City']"
Avengers Social Club,"['Search: WWW', 'The World of the Married', 'Danger of Her', 'Spring Turns to Spring', 'Age of Youth', 'Birthcare Center']"
Mad Dog,"['Vagabond', 'Taxi Driver', 'The Guardians', 'Healer', 'Player', '38 Task Force']"
Because This Is My First Life,"['Nigeru wa Haji da ga Yaku ni Tatsu', 'Run On', 'Perfect and Casual', 'Age of Youth', 'Marriage, Not Dating', 'Put Your Head on My Shoulder']"
Witch's Court,"['Lawless Lawyer', 'I Hear Your Voice', 'May It Please the Court', 'Tunnel', 'Suits', 'Pride and Prejudice']"
20th Century Boy and Girl,"['The Time We Were Not in Love', 'Because This Is My First Life', 'Love O2O', 'Fight for My Way', 'Fluttering Warning', 'Thirty-Nine']"
The Blue Sea,
While You Were Sleeping,"['Suspicious Partner', 'I Hear Your Voice', 'He Is Psychometric', 'W', 'Goblin', 'Meet Me @ 1006']"
Dream Change Laundromat,
Andante,"['Choco Bank', 'KAIst', 'Your Lie in April', 'The One and Only']"
Man in the Shower,['Furo Girl']
Yellow,['Love for a Thousand More']
Temperature of Love,"['Jealousy Incarnate', 'Ex-Girlfriend Club', 'Because This Is My First Life', 'Where the Lost Ones Go', 'She Would Never Know', 'Delicious Destiny']"
The Secret of My Love,['Hide and Seek']
Borg Mom,"[""I'm Not a Robot"", 'Bong Soon: A Cyborg in Love', 'Denei Shojo: Video Girl AI 2018']"
Devil Inspector,"['Seonam Girls High School Investigators', 'Brother Disappeared']"
Girls' Generation 1979,"['Reply 1988', 'Twenty-Five Twenty-One', 'Snowdrop', 'Sunny', 'Youth of May', 'Reply 1997']"
Magic School,
Boys Dormitory,['Roommate']
Take Care Of The Goddess,
Argon,"['Misty', 'Pinocchio', 'Stranger', 'Big Issue', 'TimeLine', 'Falsify']"
Unwrap the Age of 13,
My Golden Life,"['My Father Is Strange', 'Beautiful Gong Shim', 'Mother of Mine', 'Come! Jang Bo Ri', 'Ugly Alert', 'My Healing Love']"
Man in the Kitchen,
Between,
Hospital Ship,"['D-Day', 'Dr. Romantic', 'Doctor X', 'Encounter', 'Umi no Ue no Shinryoujo ', 'Catch the Ghost']"
All the Love in the World Season 2,
All the Love in the World Season 3,
All the Love in the World,
Somehow 18,"['Closer to You', '18 Again', 'Blue Birthday', 'Thirty But Seventeen', 'The 100th Love With You', 'Again My Life']"
Age of Youth Season 2,"['Age of Youth', 'Be Melodramatic', 'My ID Is Gangnam Beauty', 'Eulachacha Waikiki', 'Twenty Your Life On', 'Boarding House #24']"
A Day for Romance,
First Love Story Season 2,
Single Wife,
Between Friendship and Love Season 2,"['Between Friendship and Love', 'Between Friendship and Love Season 3']"
Hip Hop Teacher,
TV Novel: Dal Soon's Spring,['Come! Jang Bo Ri']
Live Up to Your Name,"['Faith', ""Queen In Hyun's Man"", 'The King: Eternal Monarch', 'The Fiery Priest', 'W', 'My Only Love Song']"
Secret Crushes: Special Edition,
Manhole,"['First Love Again', 'Back to 1989', 'Love, Timeless', 'Tomorrow With You', 'Hit the Top', 'Proud of Love Season 2']"
Dxyz,
Lies of Spring,['Wolf Girl and Black Prince']
Save Me,"['Strangers from Hell', 'Nobody Knows', ""It's Okay to Not Be Okay"", 'Glitch', 'Extracurricular', 'Flower of Evil']"
Strongest Deliveryman,"['Fight for My Way', 'Itaewon Class', 'Start-Up', 'Delivery', 'Backstreet Rookie']"
"Let's Eat Something, Anna",['Benton']
No Bad Days,
People You May Know,['My Wife’s Having an Affair This Week']
Criminal Minds,"['Through the Darkness', 'Love Me If You Dare', 'Flower of Evil', 'Voice', 'Strong Woman Do Bong Soon', 'W']"
Fork You Boss,
Falsify,"['Mad Dog', 'Pinocchio', 'Big Issue', 'Argon', 'Hero', 'Confession']"
I Am...,"['Are You Human Too?', ""I'm Not a Robot"", 'Absolute Boyfriend', ""The Wife's Secret World"", 'My Holo Love', 'AI']"
Shining Na Ra,"['Coffee, Do Me a Favor', 'To. Jenny', 'Ma Boy']"
Moment,
Reunited Worlds,"['Tomorrow With You', 'Ugly Alert', 'Oh My Ghost', 'Thirty But Seventeen', 'Shining for One Thing', 'Hi Bye, Mama!']"
Man Who Dies to Live,
Hong Ik Super,
School 2017,"['True Beauty', 'Sassy Go Go', 'School 2021', 'Live On', 'Strong Woman Do Bong Soon', 'My Strange Hero']"
The King in Love,"['Moon Lovers: Scarlet Heart Ryeo', 'Bloody Romance', 'Empress Ki', 'Reply 1988', 'The Slave Hunters', 'Warrior Baek Dong Soo']"
Flat,"['Our Beloved Summer', 'Go, Back Diary', 'To My Beautiful Woo Ri', 'Our Secret', 'Wednesday 3:30 PM', 'Never Too Late']"
Idol Fever,
First Love Story,['Love Playlist']
The Bride of Habaek,"['Goblin', 'A Korean Odyssey', 'Black Knight: The Man Who Guards Me', 'The King: Eternal Monarch', 'Alchemy of Souls', 'Hotel del Luna']"
First Love Story Pilot,
Love Playlist Season 2,['Twenty-Twenty']
Let's Only Walk The Flower Road,
The Sensible Life of Director Shin,
Woman of Dignity,"['Mine', 'Secret Mother', 'SKY Castle', 'Avengers Social Club', 'Law School', 'The World of the Married']"
Supernatural,
Sweet Enemy,"['Secret', 'Yellow Boots', 'The Promise']"
Stranger,"['Life', 'WATCHER', 'The Good Detective', 'Love Me If You Dare', 'Confession', 'Doctor Prisoner']"
My Only Love Song,"[""Queen In Hyun's Man"", 'Splash Splash LOVE', 'Faith', 'Mr. Queen', 'Cinderella Chef', 'Live Up to Your Name']"
Sisters-in-Law,"['A Daughter Just Like You', 'Lovers in Bloom', 'Still Loving You']"
Duel,"['Are You Human Too?', 'Kill It', 'Train', 'Circle', 'Beyond Evil', 'Liar Game']"
Hit the Top,"['Shopping King Louie', 'The Producers', 'Imitation', 'Rooftop Prince', 'My ID Is Gangnam Beauty', 'Back to 1989']"
Love is Actually With You,
Queen for Seven Days,"[""The Princess's Man"", 'The Red Sleeve', 'Empress Ki', 'Moon Lovers: Scarlet Heart Ryeo', 'Grand Prince', 'Arang and the Magistrate']"
Wednesday 3:30 PM,"[""Go Ho's Starry Night"", 'My First First Love', 'You Drive Me Crazy', 'My Fated Boy', 'Your Imagination Becomes Reality', 'Fight for My Way']"
10000 Ways to Become a Couple,
My Sassy Girl,"['Rookie Historian Goo Hae Ryung', 'Hwarang', 'The Forbidden Marriage', 'Moonshine', 'The Tale of Nokdu', 'My Sassy Princess']"
Lovers in Bloom,"['Love Is Drop by Drop', 'Beautiful Love, Wonderful Life', 'Sisters-in-Law', 'Unasked Family', 'Me too, Flower!']"
A Special Meal of the Weirdo 'Nara',"[""Let's Eat""]"
Wharf Roach,
Fight for My Way,"['Weightlifting Fairy Kim Bok Joo', 'Age of Youth', 'Strongest Deliveryman', 'Be Melodramatic', 'Lovestruck in the City', '9 End 2 Outs']"
Circle,"['Are You Human Too?', 'Hello Monster', 'Grid', 'W', 'Alice', 'Cross Fire']"
The Guardians,"['Taxi Driver', 'Healer', 'Good Manager', 'Mad Dog', 'Vincenzo', 'Team Bulldog: Off-duty Investigation']"
Happy Talk,
Return of Fortunate Bok,
"Bad Thief, Good Thief","['Golden Pouch', 'Healer', ""You're All Surrounded"", ""Queen In Hyun's Man"", 'Trot Lovers', 'Rebel: Thief Who Stole the People']"
Suspicious Partner,"['While You Were Sleeping', 'Strong Woman Do Bong Soon', 'Miss Hammurabi', 'Hello Monster', 'Touch Your Heart', 'The Law Cafe']"
The Emperor: Owner of the Mask,"['The Crowned Clown', 'Rebel: Thief Who Stole the People', 'The Royal Gambler', 'The Bridal Mask', 'Bloody Heart', 'The Scholar Who Walks the Night']"
"Bamboo: 9pm, Please Tell My Story",
The [email protected],"['My Idol', 'The Liar and His Lover']"
Everyday Loves,"['My Queen', ""Witch's Romance""]"
Seventeen,"['A-Teen', 'Best Mistake', 'Love Playlist', 'Love After School']"
Office Watch,['Office Watch Season 2']
Unknown Woman,"['The Promise', 'Lie After Lie', 'Yellow Boots', 'Fates & Furies', 'Miss Monte-Cristo', 'Return of the Heiress']"
Irish Uppercut,
Teacher Oh Soon Nam,"[""I'm Sorry Kang Nam Goo""]"
Man to Man,"['Healer', 'Myung Wol the Spy', 'The K2', 'Sh**ting Stars', 'Special Labor Inspector Jo', 'Wild Romance']"
My Secret Romance,"['Something About 1 Percent', 'A Business Proposal', 'Strong Woman Do Bong Soon', 'Noble, My Love', 'Oh My Boss', 'Boss & Me']"
Sympathy,
Band of Sisters,"['Empress Ki', 'Woman of Dignity']"
Poetry Story,['Society Obsessed with Love']
Chicago Typewriter,"['Goblin', 'The Bridal Mask', 'Mr. Sunshine', 'Hotel del Luna', 'Born Again', 'Youth of May']"
Queen of Mystery,"['Queen of Mystery Season 2', 'Catch the Ghost', 'Hello Monster', 'Miss Ma, Nemesis', 'Through the Darkness', ""The Killer's Shopping List""]"
The Ordinary Life of Ms. 'O'! Season 3,
The Boy Next Door,"['The Lover', 'Zettai BL ni Naru Sekai VS Zettai BL ni Naritakunai Otoko', 'Precise Shot', 'All-Boys High', 'Eulachacha Waikiki', 'The Sound of Your Heart']"
Power Rangers Dino Force Brave,['Hikonin Sentai Akibaranger']
Please Find Her,
Whisper,"['Punch', 'Seo Yeong, My Daughter', 'Misty', 'The K2', 'Stranger', 'Defendant']"
Girl’s War,['Trace of the Hand']
Green Fever,
Fortuneteller’s Secret Recipe,
Tunnel,"['Signal', 'Life on Mars', 'Beyond Evil', 'Voice', 'Train', 'Hello Monster']"
"Drink, Sing and Dance",
Mask,"['Bride of the Century', 'Secret', 'My Lethal Man', 'Who Are You: School 2015', 'The K2', 'One the Woman']"
The Liar and His Lover,"['The Liar and His Lover', 'Tempted', 'Imitation', 'Her Private Life', 'Top Management', 'Monstar']"
3 AM,
My Neighbor Soo Jung,
Radiant Office,"['Misaeng: Incomplete Life', 'Feel Good to Die', 'Good Manager', 'Ms. Temper & Nam Jung Gi', 'Because This Is My First Life', ""Go Ho's Starry Night""]"
Our Love Story,
Love Playlist,"['Dear.M', 'First Love Story', 'Seventeen', 'Flower Ever After', 'Dating Class', 'What to Do with You']"
Love Playlist Pilot,
Queen of the Ring,"['Splash Splash LOVE', 'Weightlifting Fairy Kim Bok Joo', 'Beautiful Gong Shim', 'Mask', 'Kiss Goblin', 'The Miracle']"
Love Security,
My Father Is Strange,"['Once Again', 'My Golden Life', 'What Happens to My Family?', ""Wang's Family"", 'Revolutionary Sisters', 'Five Enough']"
You're Too Much,"['My Only One', 'Can You Hear My Heart']"
Swan,['Best Lover']
Ms. Perfect,"['Misty', 'Babysitter']"
Trace of the Hand,['Girl’s War']
TV Novel: A Sea of Her Own,
Temperature: First,
Strong Woman Do Bong Soon,"['Weightlifting Fairy Kim Bok Joo', 'Suspicious Partner', 'A Business Proposal', 'Abyss', 'True Beauty', 'Love O2O']"
HOW-TO,
Super Family,"['Reply 1988', 'Hanging On', 'Ready for Start - Vol. 1', 'The Sound of Your Heart']"
Vivid Romance,"['Queen of the Ring', 'Ruby Ruby Love', 'Be Yourself', 'In Time With You', 'Bad Papa', 'Cinderella ni Naritai!']"
Tomorrow With You,"['Someday or One Day', 'Reunited Worlds', 'Alice', 'While You Were Sleeping', 'Welcome 2 Life', 'Because This Is My First Life']"
109 Strange Things,"[""The Wife's Secret World"", 'Not a Robot', ""I'm Not a Robot"", 'Are You Human Too?', 'I Am...', 'I Am Your Bleating Phone']"
Rebel: Thief Who Stole the People,"['Six Flying Dragons', ""The Princess's Man"", 'The Slave Hunters', 'Iljimae', 'Grand Prince', 'Queen for Seven Days']"
The Universe’s Star,"['Goblin', 'Her Private Life', 'Last Minute Romance', 'W', 'Wonderful Nightmare', 'Choco Bank']"
"Saimdang, Light’s Diary","['Grand Prince', 'River Where the Moon Rises', 'The Great Merchant', 'Moon Lovers: Scarlet Heart Ryeo']"
Good Manager,"['The Fiery Priest', 'Vincenzo', 'History of the Salaryman', 'Into the Ring', 'Gaus Electronics', 'The Guardians']"
Defendant,"['Remember: War of the Son', 'Beyond Evil', 'Stranger', 'Big Mouth', 'Prison Playbook', 'Doctor Prisoner']"
Moonlight Sonata,
Missing 9,"['365: Repeat the Year', 'The Stranded', 'Limit', 'Save Me', 'Missing Persons', 'Survival Code']"
A Touch on Your Cheek,
Introverted Boss,"['A Business Proposal', ""I'm Not a Robot"", 'Lucky Romance', 'Crazy Love', 'Jugglers', ""What's Wrong with Secretary Kim""]"
Secret Crushes Season 3,
Between Friends,
Voice,"['Signal', 'Tell Me What You Saw', 'Tunnel', 'Stranger', 'Memorist', 'Taxi Driver']"
Naked Fireman,['A Date With the Future']
Happy Hostage,
My Runway,"['Secret Garden', 'You and I', 'Dream High', 'The Miracle']"
Happy Ending,
Hwarang,"['Moon Lovers: Scarlet Heart Ryeo', 'My Country: The New Age', 'Sungkyunkwan Scandal', 'My Sassy Girl', ""The Chang'an Youth"", 'Arsenal Military Academy']"
I'm Sorry Kang Nam Goo,"['Home for Summer', 'Teacher Oh Soon Nam', 'The Promise']"
Between Friendship and Love,"['Between Friendship and Love Season 2', 'Between Friendship and Love Season 3']"
Solomon's Perjury,"['Revenge of Others', 'Law School', 'Beautiful World', 'Class of Lies', 'Extracurricular', 'Sassy Go Go']"
Justice Team,
The Miracle,"['My Runway', 'Queen of the Ring', 'Wannabe U', 'The World of My 17']"
My Old Friend,
Deux Yeoza Season 2,
The Birth of a Married Woman,
Love for a Thousand More,"['We Broke Up', 'Black Knight: The Man Who Guards Me', 'My Amazing Boyfriend', 'Yellow', 'Girl of 0AM', 'Matching! Boys Archery']"
Artist Grandma,
Goblin,"['A Korean Odyssey', 'Hotel del Luna', 'Tale of the Nine-Tailed', 'The King: Eternal Monarch', 'Doom at Your Service', 'Chicago Typewriter']"
Still Loving You,"['Sisters-in-Law', 'The Unusual Family', 'Beautiful Love, Wonderful Life', 'The Gentlemen of Wolgyesu Tailor Shop', 'I Hear Your Voice']"
Love Is Drop by Drop,"['Lovers in Bloom', 'Falling for Innocence', 'Unasked Family']"
Person Who Gives Happiness,"['Come! Jang Bo Ri', 'Mother', 'A Pledge to God', ""Wang's Family"", 'Bravo, My Life', 'Home for Summer']"
Night Light,"['Big Money!', 'Big Issue', 'Secret Boutique']"
Cat Chef,
The Sloppy Life Of Kang Dae Choong,
Weightlifting Fairy Kim Bok Joo,"['Strong Woman Do Bong Soon', 'Skate Into Love', 'Shopping King Louie', 'Twenty-Five Twenty-One', 'Fight for My Way', 'Sassy Go Go']"
The Legend of the Blue Sea,"['My Love from the Star', 'Crash Landing on You', 'Goblin', 'My Girlfriend Is a Gumiho', 'Tale of the Nine-Tailed', 'Chicago Typewriter']"
Oh My Geum Bi,"['Loving, Never Forgetting', '1 Litre no Namida', 'Super Daddy Yeol', 'Scent of a Woman', 'My Annoying Brother', 'Uncle']"
What's Up With These Kids!?,['Tomorrow Boy']
My Romantic Some Recipe,"['My Woofy Poofy Love', 'W', 'Soul Plate', 'Pop Out Boy!', 'Be My Boyfriend', 'My Deskmate']"
Golden Pouch,"[""It's Beautiful Now"", 'Bad Thief, Good Thief', 'My Father Is Strange', ""My Life's Golden Age"", 'Woman in a Veil', 'Shopping King Louie']"
"Father, I’ll Take Care of You","['My Father Is Strange', 'Homemade Love Story', 'What Happens to My Family?', 'Just You', 'Ugly Alert', ""Wang's Family""]"
Dr. Romantic,"['Hospital Playlist Season 2', 'Hospital Playlist', 'Dr. Romantic Season 2', 'D-Day', 'Doctor John', 'Doctor Stranger']"
The Sound of Your Heart,"['Eulachacha Waikiki', 'The Boy Next Door', 'Pegasus Market', 'The Lover', 'Hanging On', 'Super Family']"
I'm Not a Girl Anymore,
Descendants of the Airport,
Entourage,"['Sh**ting Stars', 'The Lover']"
Forever Young 2,
Momin's Room,['Love Playlist']
Bunny Bunny,
Positive Physique,"['Ex-Girlfriend Club', 'Drama Special Series Season 3: Adolescence Medley']"
Ugly Miss Young Ae Season 15,
Always Springtime,
My Wife’s Having an Affair This Week,"['My Mister', 'Valid Love', 'Cheat On Me, if You Can', 'On the Way to the Airport', 'Saikou no Rikon', 'People You May Know']"
One More Time,"['Todome no Kiss', 'Breakup Probation, A Week', 'Love in Time', 'Heartstrings', 'Let Me Off the Earth', 'Time Traveller']"
Sweet Stranger and Me,"['Healer', 'Hometown Cha-Cha-Cha', 'My Young Auntie', 'Her Granddaughter']"
Clocking Out,
Hot and Sweet,"['Choco Bank', 'I Order You']"
Secret Crushes Season 2,
88 Street,
The Facetale: Cinderia,
Secret Crushes,
Simple Relatable Drama,
Something About 1 Percent,"['My Secret Romance', 'Marriage, Not Dating', 'Noble, My Love', 'Hapimari: Happy Marriage!?', 'High-end Crush', 'Love O2O']"
Woman with a Suitcase,"['Queen of Mystery', 'My Lawyer, Mr. Jo']"
Thumping Spike 2,"['Thumping Spike', 'Sassy Go Go', 'Alchemist', 'HIStory2: Crossing the Line']"
The K2,"['Healer', 'Yong Pal', 'Vagabond', 'Lawless Lawyer', 'Cruel City', 'My Name']"
Shopping King Louie,"['Weightlifting Fairy Kim Bok Joo', '100 Days My Prince', 'Forget You Remember Love', 'Do Do Sol Sol La La Sol', 'Hit the Top', 'Beautiful Gong Shim']"
On the Way to the Airport,"['Love Affairs in the Afternoon', 'When My Love Blooms', 'Hirugao', 'One Spring Night', 'Before We Get Married', 'A Wife’s Credentials']"
Mr. Hashtag,
Haengbok 100 km,
TV Novel: That Sun in the Sky,"['Trap of Youth', 'Queen of Ambition', 'Youth of May', 'Second Husband']"
Drinking Solo,"['A Poem a Day', 'Dinner Mate', ""Let's Eat Season 2"", 'Monthly Magazine Home', 'Crazy Love', 'Something About 1 Percent']"
Three Kingdom Wars - Imjin War 1592,
Fantastic,"['The Greatest Love', 'The World That They Live In', 'Thirty But Seventeen', 'Hometown Cha-Cha-Cha', 'Uncontrollably Fond']"
Hello Busking,
Moon Lovers: Scarlet Heart Ryeo,"['Mr. Queen', 'Scarlet Heart', 'Alchemy of Souls', 'The Red Sleeve', 'Splash Splash LOVE', 'Faith']"
The Gentlemen of Wolgyesu Tailor Shop,"['The Law Cafe', 'What Happens to My Family?', 'My Father Is Strange', ""A Hundred Year's Inheritance"", 'Hearts of Nineteen', 'Still Loving You']"
Blow Breeze,"[""It's Beautiful Now"", 'King2Hearts', 'Young Lady and Gentleman']"
Our Gap Soon,"['Marry Me Now', 'Can We Get Married?', 'Father, I’ll Take Care of You']"
Jealousy Incarnate,"['The Greatest Love', 'Fight for My Way', ""The Master's Sun"", 'Oh My Ghost', 'Pasta', 'Another Miss Oh']"
Youth Syndrome,
Love in the Moonlight,"['Splash Splash LOVE', 'Lovers of the Red Sky', 'The Tale of Nokdu', 'Sungkyunkwan Scandal', 'Coffee Prince', 'Moon Embracing the Sun']"
Detective Alice 2,
Cinderella and the Four Knights,"['Atashinchi no Danshi', 'Boys Over Flowers', ""You're Beautiful"", 'Suki na Hito ga Iru Koto', 'Yamato Nadeshiko Shichi Henge', 'Flower Boy Ramen Shop']"
Matching! Boys Archery,"['VIP Gymnasium', 'The Prince of Tennis', 'Love for a Thousand More', 'Project S: Shoot! I Love You']"
Welcome to My Lab Season 2,
Banana Actually 2,['Banana Actually']
Romantic Boss,
Second to Last Love,"[""A Gentleman's Dignity"", 'Twenty Again', 'Saigo Kara Nibanme no Koi']"
Women at a Game Company,['Search: WWW']
Spark,"['I Hate You, Juliet!', 'My Only Love Song']"
Age of Youth,"['Because This Is My First Life', 'Youth', 'Eulachacha Waikiki', 'Weightlifting Fairy Kim Bok Joo', 'Age of Youth Season 2', 'Fight for My Way']"
Tong: Memories,"['Gangster High', 'Dokgo Rewind', 'Boys Be!', 'Weak Hero Class 1', 'Bullies']"
W,"['Extraordinary You', 'Memories of the Alhambra', 'While You Were Sleeping', 'Lost Romance', ""Queen In Hyun's Man"", 'The Romance of Tiger and Rose']"
"Reply Pyeongchang, 100°F",
Horror Delivery Service,"['Persona', 'Midnight Horror: Six Nights', 'Horror Monday']"
Magic Cell Phone,
"Bring It On, Ghost","['Oh My Ghost', ""The Master's Sun"", 'The Uncanny Counter', 'Hotel del Luna', 'Delivery Man', 'From Now On, Showtime!']"
The Good Wife,"['Misty', 'The World of the Married', 'Mistress', 'Garasu no Ie', 'The Good Wife', 'Defendant']"
Uncontrollably Fond,"['Doom at Your Service', 'Come and Hug Me', 'Just Between Lovers', 'More than Blue: The Series', 'Chocolate', 'Time']"
Touching You,"['Tomorrow With You', 'He Is Psychometric', 'Aftermath', 'Memorist', 'While You Were Sleeping', 'The Game: Towards Zero']"
Go Ho's Starry Night,"['Introverted Boss', 'Wednesday 3:30 PM', 'Noble, My Love', 'Kiss Sixth Sense', '5-ji Kara 9-ji Made', ""What's Wrong with Secretary Kim""]"
After the Show Ends,
Secrets of Women,"['Yellow Boots', 'Miss Monte-Cristo']"
Oh My God! Tip Series 3,
Once Upon a Time in Gwangju,
Wanted,"['Defendant', 'Mother', 'Midnight FM', ""God's Gift: 14 Days"", 'My Beautiful Bride', 'Two Weeks']"
